"dates","UAA.Open","UAA.High","UAA.Low","UAA.Close","UAA.Volume","UAA.Adjusted"
"2010-02-22",3.2425,3.27875,3.2175,3.2425,3177600,3.2425
"2010-02-23",3.2425,3.25375,3.145,3.1675,3596000,3.1675
"2010-02-24",3.2225,3.295,3.21125,3.23125,6490400,3.23125
"2010-02-25",3.19,3.26375,3.15875,3.26125,3859200,3.26125
"2010-02-26",3.27125,3.28375,3.2225,3.2575,2902400,3.2575
"2010-03-01",3.27,3.35625,3.25,3.355,3281600,3.355
"2010-03-02",3.395,3.39625,3.335,3.37,3778400,3.37
"2010-03-03",3.375,3.39125,3.31875,3.34375,4318400,3.34375
"2010-03-04",3.3575,3.37375,3.30375,3.33625,1950400,3.33625
"2010-03-05",3.36,3.55625,3.33875,3.5175,6939200,3.5175
"2010-03-08",3.52375,3.58375,3.51625,3.52125,3035200,3.52125
"2010-03-09",3.525,3.61125,3.52125,3.55125,4067200,3.55125
"2010-03-10",3.5475,3.64625,3.5225,3.625,4709600,3.625
"2010-03-11",3.6075,3.65125,3.51625,3.6475,6637600,3.6475
"2010-03-12",3.65625,3.66,3.5375,3.55,6032000,3.55
"2010-03-15",3.545,3.56,3.47875,3.5225,3158400,3.5225
"2010-03-16",3.54,3.59,3.51875,3.58625,2875200,3.58625
"2010-03-17",3.57625,3.64875,3.57625,3.62125,4144800,3.62125
"2010-03-18",3.63875,3.6975,3.52625,3.5425,9039200,3.5425
"2010-03-19",3.5925,3.595,3.50625,3.5925,4911200,3.5925
"2010-03-22",3.5525,3.79875,3.5225,3.76125,7964000,3.76125
"2010-03-23",3.76,3.895,3.76,3.85,9392000,3.85
"2010-03-24",3.78125,3.7875,3.6325,3.645,11553600,3.645
"2010-03-25",3.6875,3.855,3.6825,3.77,8388800,3.77
"2010-03-26",3.78875,3.85875,3.76875,3.825,5187200,3.825
"2010-03-29",3.845,3.84625,3.7775,3.825,3466400,3.825
"2010-03-30",3.81625,3.875,3.74375,3.78125,6009600,3.78125
"2010-03-31",3.76125,3.7925,3.66125,3.67625,4557600,3.67625
"2010-04-01",3.71875,3.82625,3.705,3.82,7015200,3.82
"2010-04-05",3.84875,3.9,3.82625,3.8675,4884000,3.8675
"2010-04-06",3.875,3.92875,3.8575,3.92,3035200,3.92
"2010-04-07",3.92625,3.98375,3.89875,3.94375,4125600,3.94375
"2010-04-08",3.92,3.99875,3.8875,3.955,3788800,3.955
"2010-04-09",3.96625,4.04125,3.91,4.035,5222400,4.035
"2010-04-12",4.1725,4.28125,4.09875,4.11875,12874400,4.11875
"2010-04-13",4.13625,4.1775,4.055,4.0725,7548000,4.0725
"2010-04-14",4.1225,4.365,4.1,4.32875,11599200,4.32875
"2010-04-15",4.31875,4.31875,4.14875,4.17375,12063200,4.17375
"2010-04-16",4.17875,4.2575,4.16375,4.2175,5723200,4.2175
"2010-04-19",4.1925,4.34125,4.0875,4.20625,9287200,4.20625
"2010-04-20",4.2375,4.3,4.20875,4.235,3644800,4.235
"2010-04-21",4.25,4.3,4.2175,4.2525,7406400,4.2525
"2010-04-22",4.26625,4.375,4.2125,4.3525,7149600,4.3525
"2010-04-23",4.34,4.43125,4.3125,4.41875,4541600,4.41875
"2010-04-26",4.3925,4.5275,4.3925,4.49125,8712000,4.49125
"2010-04-27",4.36625,4.40625,4.13125,4.275,18670400,4.275
"2010-04-28",4.315,4.54,4.3125,4.4425,14744800,4.4425
"2010-04-29",4.48625,4.56125,4.42125,4.48125,8481600,4.48125
"2010-04-30",4.4825,4.55375,4.2075,4.21875,8756800,4.21875
"2010-05-03",4.25,4.39125,4.21875,4.3175,9623200,4.3175
"2010-05-04",4.37,4.37,4.15625,4.23375,7266400,4.23375
"2010-05-05",4.1875,4.315,4.09875,4.11375,7108800,4.11375
"2010-05-06",4.1,4.1,3.645,3.91875,11632800,3.91875
"2010-05-07",3.9375,4.0225,3.69875,3.77375,11984000,3.77375
"2010-05-10",4.045,4.125,3.92625,4.09625,6021600,4.09625
"2010-05-11",4.04875,4.29125,4.01625,4.175,7000800,4.175
"2010-05-12",4.18125,4.37125,4.18125,4.29875,7146400,4.29875
"2010-05-13",4.275,4.3,4.18125,4.25125,6088800,4.25125
"2010-05-14",4.1875,4.23,4.0025,4.10125,6496800,4.10125
"2010-05-17",4.09125,4.15625,3.87375,4.1175,7610400,4.1175
"2010-05-18",4.18625,4.2475,3.99875,4.02625,4767200,4.02625
"2010-05-19",3.925,3.995,3.8125,3.92375,9872000,3.92375
"2010-05-20",3.79375,3.905,3.75,3.81375,10742400,3.81375
"2010-05-21",3.745,4.03,3.67875,3.8725,10476800,3.8725
"2010-05-24",3.92875,3.99375,3.865,3.88125,4700000,3.88125
"2010-05-25",3.755,3.8975,3.64,3.885,7753600,3.885
"2010-05-26",4.18625,4.3,4.07125,4.195,18442400,4.195
"2010-05-27",4.25,4.375,4.23375,4.33875,9385600,4.33875
"2010-05-28",4.29625,4.35875,4.18625,4.21125,8130400,4.21125
"2010-06-01",4.13875,4.22875,4.0525,4.065,4486400,4.065
"2010-06-02",4.08875,4.22125,4.02625,4.21625,3432800,4.21625
"2010-06-03",4.22,4.315,4.17125,4.3075,5016000,4.3075
"2010-06-04",4.18,4.24875,4,4.08625,7220800,4.08625
"2010-06-07",4.09125,4.15625,3.91375,3.93375,3602400,3.93375
"2010-06-08",3.9575,4.03,3.785,4.0075,5481600,4.0075
"2010-06-09",4.05,4.1825,3.9475,3.99,7846400,3.99
"2010-06-10",4.0775,4.17375,4.01625,4.1625,6464000,4.1625
"2010-06-11",4.1725,4.3325,4.06375,4.2925,8388000,4.2925
"2010-06-14",4.305,4.43375,4.2925,4.34125,7009600,4.34125
"2010-06-15",4.41125,4.4975,4.325,4.47875,5965600,4.47875
"2010-06-16",4.4325,4.72875,4.39125,4.62375,10644000,4.62375
"2010-06-17",4.6775,4.71125,4.50375,4.6075,6740000,4.6075
"2010-06-18",4.63,4.7325,4.5625,4.6875,6939200,4.6875
"2010-06-21",4.76375,4.85875,4.55125,4.58375,7909600,4.58375
"2010-06-22",4.56125,4.71,4.47125,4.4875,5780000,4.4875
"2010-06-23",4.54375,4.6375,4.45875,4.58125,4760000,4.58125
"2010-06-24",4.5325,4.5475,4.32125,4.385,8146400,4.385
"2010-06-25",4.4175,4.50625,4.36375,4.4925,5128000,4.4925
"2010-06-28",4.43875,4.61375,4.43375,4.5225,4457600,4.5225
"2010-06-29",4.42875,4.42875,4.145,4.19875,7014400,4.19875
"2010-06-30",4.21375,4.30875,4.1275,4.14125,4409600,4.14125
"2010-07-01",4.12625,4.23625,3.95375,4.18625,5736800,4.18625
"2010-07-02",4.21375,4.23125,4.06625,4.08625,2856000,4.08625
"2010-07-06",4.19875,4.2925,4.01375,4.06375,3960000,4.06375
"2010-07-07",4.10375,4.34625,4.06625,4.32625,5241600,4.32625
"2010-07-08",4.395,4.425,4.3125,4.425,6695200,4.425
"2010-07-09",4.40875,4.49375,4.37875,4.48875,5928800,4.48875
"2010-07-12",4.45625,4.555,4.4425,4.49125,4796800,4.49125
"2010-07-13",4.55875,4.56125,4.4,4.51875,7008800,4.51875
"2010-07-14",4.48375,4.5425,4.365,4.41875,5066400,4.41875
"2010-07-15",4.4,4.44125,4.3225,4.4325,4211200,4.4325
"2010-07-16",4.405,4.40875,4.155,4.16625,7013600,4.16625
"2010-07-19",4.24875,4.25,4.08,4.15125,3298400,4.15125
"2010-07-20",4.08875,4.255,4.03375,4.19,5601600,4.19
"2010-07-21",4.23625,4.33,4.15,4.2875,6414400,4.2875
"2010-07-22",4.37375,4.65,4.355,4.625,11357600,4.625
"2010-07-23",4.58875,4.68875,4.56375,4.6775,4689600,4.6775
"2010-07-26",4.69125,4.8025,4.69125,4.77875,10112800,4.77875
"2010-07-27",4.96375,5,4.685,4.74125,14808800,4.74125
"2010-07-28",4.7175,4.77625,4.6275,4.6375,5412000,4.6375
"2010-07-29",4.70375,4.75125,4.5625,4.67875,4393600,4.67875
"2010-07-30",4.59375,4.76375,4.57375,4.695,4272000,4.695
"2010-08-02",4.78875,4.83625,4.70875,4.77875,5468000,4.77875
"2010-08-03",4.75875,4.76125,4.59625,4.67125,5066400,4.67125
"2010-08-04",4.66625,4.77875,4.6475,4.75125,3363200,4.75125
"2010-08-05",4.7125,4.75,4.6675,4.6775,4070400,4.6775
"2010-08-06",4.5875,4.67875,4.57125,4.65875,5112000,4.65875
"2010-08-09",4.7125,4.75,4.6475,4.735,4720800,4.735
"2010-08-10",4.66875,4.75,4.63625,4.70875,3445600,4.70875
"2010-08-11",4.6075,4.6575,4.55,4.56375,5437600,4.56375
"2010-08-12",4.56125,4.59125,4.41125,4.56125,3162400,4.56125
"2010-08-13",4.5275,4.62,4.48375,4.48625,2987200,4.48625
"2010-08-16",4.4525,4.48625,4.39875,4.43375,7096800,4.43375
"2010-08-17",4.49875,4.65125,4.46875,4.575,6520800,4.575
"2010-08-18",4.5825,4.75,4.5325,4.70625,5711200,4.70625
"2010-08-19",4.68375,4.70625,4.525,4.53875,6168000,4.53875
"2010-08-20",4.53,4.62125,4.44875,4.5975,3536800,4.5975
"2010-08-23",4.64625,4.69375,4.515,4.54625,3071200,4.54625
"2010-08-24",4.4675,4.5475,4.35375,4.44875,3657600,4.44875
"2010-08-25",4.39125,4.57875,4.375,4.5625,3928800,4.5625
"2010-08-26",4.59625,4.61125,4.3525,4.365,4701600,4.365
"2010-08-27",4.4225,4.55375,4.275,4.525,7784800,4.525
"2010-08-30",4.49,4.58125,4.355,4.36875,4279200,4.36875
"2010-08-31",4.35,4.5,4.29,4.48375,6494400,4.48375
"2010-09-01",4.595,4.73625,4.5675,4.5925,6532800,4.5925
"2010-09-02",4.58875,4.6875,4.57625,4.655,4143200,4.655
"2010-09-03",4.72625,4.81,4.68,4.79375,4401600,4.79375
"2010-09-07",4.78375,4.92375,4.74,4.795,7248000,4.795
"2010-09-08",4.80125,4.95,4.80125,4.87,5900800,4.87
"2010-09-09",4.98875,5.0475,4.8825,4.95,7291200,4.95
"2010-09-10",4.98375,5.0875,4.98,4.98625,5324000,4.98625
"2010-09-13",5.0475,5.125,5.01125,5.11375,7404800,5.11375
"2010-09-14",5.125,5.3225,5.0925,5.27625,13384000,5.27625
"2010-09-15",5.26875,5.5175,5.25125,5.32,10556000,5.32
"2010-09-16",5.29,5.52375,5.28,5.50875,7300800,5.50875
"2010-09-17",5.50625,5.545,5.4575,5.52125,10876000,5.52125
"2010-09-20",5.56125,5.6625,5.5025,5.65375,5560000,5.65375
"2010-09-21",5.67,5.68,5.56875,5.635,6013600,5.635
"2010-09-22",5.59375,5.66,5.46375,5.5,6756000,5.5
"2010-09-23",5.42625,5.64125,5.36625,5.54875,6288000,5.54875
"2010-09-24",5.635,5.7625,5.5975,5.615,6763200,5.615
"2010-09-27",5.62,5.70375,5.5875,5.6525,2941600,5.6525
"2010-09-28",5.68375,5.75,5.58625,5.68375,6323200,5.68375
"2010-09-29",5.675,5.75625,5.66375,5.6875,4032000,5.6875
"2010-09-30",5.73375,5.75,5.57,5.63,4446400,5.63
"2010-10-01",5.665,5.73,5.535,5.63125,4401600,5.63125
"2010-10-04",5.6225,5.7,5.5275,5.605,4244000,5.605
"2010-10-05",5.68625,5.875,5.6075,5.63875,14558400,5.63875
"2010-10-06",5.625,5.65625,5.50875,5.55625,5572800,5.55625
"2010-10-07",5.5825,5.65625,5.52375,5.57375,4223200,5.57375
"2010-10-08",5.57375,5.8525,5.57375,5.7775,7014400,5.7775
"2010-10-11",5.78875,5.845,5.72875,5.74,3344000,5.74
"2010-10-12",5.705,5.8425,5.66375,5.8,4715200,5.8
"2010-10-13",5.8325,6,5.82375,5.84875,6512000,5.84875
"2010-10-14",5.84375,5.9375,5.73625,5.785,4644800,5.785
"2010-10-15",5.85125,5.87,5.6875,5.7025,8082400,5.7025
"2010-10-18",5.7675,5.785,5.7025,5.77875,3187200,5.77875
"2010-10-19",5.68875,5.74625,5.5575,5.61,4825600,5.61
"2010-10-20",5.6375,5.7125,5.57,5.66375,2982400,5.66375
"2010-10-21",5.70125,5.9725,5.58625,5.67625,4611200,5.67625
"2010-10-22",5.78125,5.89625,5.71375,5.88375,4973600,5.88375
"2010-10-25",5.9225,6.07375,5.89125,5.98875,7976800,5.98875
"2010-10-26",5.67,6.06125,5.59375,5.9975,16339200,5.9975
"2010-10-27",5.97625,5.9875,5.78125,5.85,7509600,5.85
"2010-10-28",5.9275,6.00875,5.765,5.87,5429600,5.87
"2010-10-29",5.8625,5.89625,5.79125,5.835,3525600,5.835
"2010-11-01",5.86875,5.93625,5.78125,5.8125,3650400,5.8125
"2010-11-02",5.85125,5.92375,5.7675,5.85,4520800,5.85
"2010-11-03",5.875,5.92375,5.73125,5.80375,4280800,5.80375
"2010-11-04",5.89375,6.07125,5.875,6.06125,6840000,6.06125
"2010-11-05",6.0675,6.3625,6.0675,6.2825,7881600,6.2825
"2010-11-08",6.28875,6.49875,6.2625,6.47,6905600,6.47
"2010-11-09",6.485,6.49875,6.37375,6.4075,5099200,6.4075
"2010-11-10",6.395,6.485,6.3275,6.48125,4112800,6.48125
"2010-11-11",6.4025,6.5375,6.3775,6.49625,3941600,6.49625
"2010-11-12",6.4375,6.49125,6.28375,6.31875,3616000,6.31875
"2010-11-15",6.33625,6.38625,6.19875,6.21375,3697600,6.21375
"2010-11-16",6.225,6.42375,6.1325,6.25,5780000,6.25
"2010-11-17",6.27,6.4575,6.25125,6.36375,5884000,6.36375
"2010-11-18",6.46125,6.5525,6.45625,6.495,4857600,6.495
"2010-11-19",6.4625,6.8375,6.46125,6.78125,7235200,6.78125
"2010-11-22",6.875,6.88625,6.73625,6.87375,8367200,6.87375
"2010-11-23",6.8175,6.97625,6.765,6.94,5298400,6.94
"2010-11-24",7,7.1425,7,7.0725,7585600,7.0725
"2010-11-26",7.1525,7.1525,6.9825,7.0625,1985600,7.0625
"2010-11-29",7.0325,7.0575,6.9375,7.00375,7836000,7.00375
"2010-11-30",6.9525,7.33625,6.9525,7.21625,7067200,7.21625
"2010-12-01",7.3125,7.385,7.22125,7.2375,5212800,7.2375
"2010-12-02",7.2625,7.32375,7.14375,7.26125,3822400,7.26125
"2010-12-03",7.19625,7.39875,7.17375,7.37875,4247200,7.37875
"2010-12-06",7.43625,7.45,7.3075,7.44375,3229600,7.44375
"2010-12-07",7.51375,7.515,7.32375,7.34,5568000,7.34
"2010-12-08",7.3325,7.41625,7.2625,7.33625,2148000,7.33625
"2010-12-09",7.3175,7.39375,7.26125,7.37625,5517600,7.37625
"2010-12-10",7.39,7.51125,7.37125,7.50125,5066400,7.50125
"2010-12-13",7.425,7.5175,7.4225,7.46375,7089600,7.46375
"2010-12-14",7.46875,7.48,7.0825,7.09375,10943200,7.09375
"2010-12-15",7.0525,7.08125,6.7,6.8475,19624000,6.8475
"2010-12-16",6.84625,7.05625,6.8325,7.01375,6284000,7.01375
"2010-12-17",7.0375,7.18625,6.99375,7.16,7230400,7.16
"2010-12-20",7.3025,7.3025,7.07375,7.15375,3956800,7.15375
"2010-12-21",7.1825,7.1875,7.11125,7.175,3265600,7.175
"2010-12-22",7.12125,7.15625,6.73,6.81125,8011200,6.81125
"2010-12-23",6.815,6.92375,6.81375,6.85625,3070400,6.85625
"2010-12-27",6.84875,6.85625,6.7275,6.8125,2145600,6.8125
"2010-12-28",6.8025,6.83375,6.67,6.68375,3304000,6.68375
"2010-12-29",6.71,6.8625,6.7075,6.825,3225600,6.825
"2010-12-30",6.82875,6.9375,6.8275,6.8925,2316800,6.8925
"2010-12-31",6.8925,6.91875,6.825,6.855,3596800,6.855
"2011-01-03",6.8725,7.025,6.8125,6.94625,6912800,6.94625
"2011-01-04",6.965,7.01375,6.74,6.83125,4911200,6.83125
"2011-01-05",6.82125,6.9925,6.79,6.9425,3428000,6.9425
"2011-01-06",6.96875,6.9825,6.78375,6.83,3564000,6.83
"2011-01-07",6.85,6.85,6.595,6.69375,4948800,6.69375
"2011-01-10",6.65125,6.9525,6.5825,6.9025,4219200,6.9025
"2011-01-11",6.98875,7,6.76875,6.79875,3057600,6.79875
"2011-01-12",6.87375,6.945,6.8475,6.8775,2152800,6.8775
"2011-01-13",6.8975,6.9375,6.85625,6.93375,2528800,6.93375
"2011-01-14",6.925,7.04375,6.91375,7.0375,2415200,7.0375
"2011-01-18",7.0375,7.10375,6.97,7.10375,3904800,7.10375
"2011-01-19",7.10375,7.12375,6.8825,6.90125,4458400,6.90125
"2011-01-20",6.875,6.95125,6.75,6.76125,4646400,6.76125
"2011-01-21",6.7875,6.82375,6.63375,6.65625,6144000,6.65625
"2011-01-24",6.74375,6.91875,6.6525,6.69,10423200,6.69
"2011-01-25",6.6925,6.71375,6.47125,6.625,8934400,6.625
"2011-01-26",6.635,6.76625,6.56625,6.735,6556000,6.735
"2011-01-27",7.0175,7.49375,6.9775,7.47375,25632800,7.47375
"2011-01-28",7.48625,7.6225,7.3825,7.46875,9772000,7.46875
"2011-01-31",7.485,7.545,7.40625,7.4825,7510400,7.4825
"2011-02-01",7.5,7.5575,7.44125,7.5225,7880000,7.5225
"2011-02-02",7.5075,7.585,7.4175,7.42625,5837600,7.42625
"2011-02-03",7.43,7.6025,7.4275,7.5325,6378400,7.5325
"2011-02-04",7.52,8.11875,7.47625,7.9625,12228800,7.9625
"2011-02-07",7.9625,8.19375,7.91625,8.18875,9432000,8.18875
"2011-02-08",8.1625,8.39875,8.13125,8.37375,8384000,8.37375
"2011-02-09",8.33875,8.58125,8.3025,8.30875,7668000,8.30875
"2011-02-10",8.2875,8.65375,8.2425,8.64,8252000,8.64
"2011-02-11",8.625,8.74625,8.56375,8.72625,4944800,8.72625
"2011-02-14",8.73125,8.80375,8.60375,8.62,6752000,8.62
"2011-02-15",8.4625,8.59,8.35375,8.4175,6013600,8.4175
"2011-02-16",8.435,8.53375,8.35375,8.47125,4324000,8.47125
"2011-02-17",8.42,8.5,8.3025,8.44125,3373600,8.44125
"2011-02-18",8.4275,8.525,8.3625,8.48,3121600,8.48
"2011-02-22",8.35,8.56625,8.2625,8.26875,4224000,8.26875
"2011-02-23",8.25,8.3075,7.785,8.03125,8089600,8.03125
"2011-02-24",8,8.15875,7.92375,8.07,5130400,8.07
"2011-02-25",8.10875,8.38375,8.105,8.2525,5331200,8.2525
"2011-02-28",8.29125,8.32625,8.1175,8.27875,3609600,8.27875
"2011-03-01",8.285,8.2975,7.97625,8.05875,4781600,8.05875
"2011-03-02",8.05375,8.09625,7.81625,7.985,4134400,7.985
"2011-03-03",8.125,8.33125,8.08625,8.32,5711200,8.32
"2011-03-04",8.28375,8.435,8.25,8.41625,5073600,8.41625
"2011-03-07",8.43,8.65625,8.21875,8.4825,10854400,8.4825
"2011-03-08",8.5025,8.83625,8.48875,8.68625,9174400,8.68625
"2011-03-09",8.6375,8.77375,8.5125,8.60625,4104800,8.60625
"2011-03-10",8.5,8.59,8.39625,8.46125,4242400,8.46125
"2011-03-11",8.45,8.72125,8.37,8.68125,5049600,8.68125
"2011-03-14",8.56625,8.6425,8.4175,8.53375,4404800,8.53375
"2011-03-15",8.25,8.53,8.19375,8.44,4938400,8.44
"2011-03-16",8.4025,8.59125,8.27875,8.3925,4431200,8.3925
"2011-03-17",8.53125,8.55125,8.3,8.385,3301600,8.385
"2011-03-18",8.1675,8.255,7.87625,7.91375,15441600,7.91375
"2011-03-21",8.0125,8.22875,8.00375,8.18875,5110400,8.18875
"2011-03-22",8.18625,8.20625,8.00375,8.02375,3808800,8.02375
"2011-03-23",7.98625,8.1625,7.9125,8.115,3725600,8.115
"2011-03-24",8.1525,8.23625,8.08625,8.15625,3585600,8.15625
"2011-03-25",8.17625,8.3875,8.1325,8.22375,3962400,8.22375
"2011-03-28",8.235,8.33625,8.07625,8.13875,3984800,8.13875
"2011-03-29",8.085,8.59625,7.96375,8.54,9294400,8.54
"2011-03-30",8.5825,8.82,8.5625,8.62875,6476000,8.62875
"2011-03-31",8.63625,8.6875,8.4575,8.50625,5211200,8.50625
"2011-04-01",8.55875,9.265,8.5075,9.15375,15990400,9.15375
"2011-04-04",9.245,9.375,9.11,9.31875,9255200,9.31875
"2011-04-05",9.34125,9.60625,9.3125,9.50625,6908000,9.50625
"2011-04-06",9.5625,9.5825,9.13,9.2375,7156800,9.2375
"2011-04-07",9.23875,9.36,9.0625,9.1375,5339200,9.1375
"2011-04-08",9.165,9.2375,8.895,8.925,6103200,8.925
"2011-04-11",8.935,9.28625,8.935,9.16125,7107200,9.16125
"2011-04-12",9.03375,9.375,8.9825,9.24625,7895200,9.24625
"2011-04-13",9.30375,9.38625,9.1625,9.37,4911200,9.37
"2011-04-14",9.25375,9.35375,9.09625,9.17625,5555200,9.17625
"2011-04-15",9.16875,9.3,9.14125,9.23375,3372000,9.23375
"2011-04-18",9.1,9.325,8.9425,9.26375,5149600,9.26375
"2011-04-19",9.27625,9.74625,9.2625,9.725,10845600,9.725
"2011-04-20",9.86625,9.94875,9.72625,9.80625,8245600,9.80625
"2011-04-21",9.9,9.9,9.695,9.81625,3184800,9.81625
"2011-04-25",9.98125,10,9.71,9.80875,6914400,9.80875
"2011-04-26",9.3625,9.43125,8.67,8.705,36849600,8.705
"2011-04-27",8.75,8.8,8.52375,8.75625,13842400,8.75625
"2011-04-28",8.75,9.03,8.69,8.78,11573600,8.78
"2011-04-29",8.7875,8.7875,8.445,8.5575,12137600,8.5575
"2011-05-02",8.56125,8.57375,8.1625,8.35,13780000,8.35
"2011-05-03",8.3025,8.3425,8.05875,8.09375,10068800,8.09375
"2011-05-04",8.09375,8.18375,7.86375,8.165,11727200,8.165
"2011-05-05",8.10625,8.27125,7.975,8.14375,9878400,8.14375
"2011-05-06",8.24125,8.40625,8.11,8.25,10284800,8.25
"2011-05-09",8.25,8.34625,8.1925,8.21125,7202400,8.21125
"2011-05-10",8.22,8.44375,8.19125,8.425,8424800,8.425
"2011-05-11",8.38875,8.615,8.385,8.59125,12054400,8.59125
"2011-05-12",8.53375,8.65625,8.47,8.5075,7920000,8.5075
"2011-05-13",8.5275,8.5775,8.2925,8.365,6657600,8.365
"2011-05-16",8.28625,8.3575,8.0525,8.09125,7336000,8.09125
"2011-05-17",8.04625,8.10625,7.695,8.01125,15142400,8.01125
"2011-05-18",8.22625,8.45375,8.18875,8.38875,12928000,8.38875
"2011-05-19",8.43625,8.46875,8.2375,8.36125,6326400,8.36125
"2011-05-20",8.3675,8.42375,8.0475,8.17875,8041600,8.17875
"2011-05-23",8.06375,8.18625,8,8.125,5735200,8.125
"2011-05-24",8.1275,8.17125,8.0075,8.025,4278400,8.025
"2011-05-25",7.98125,8.06875,7.8275,8.00625,7676800,8.00625
"2011-05-26",7.915,8.20875,7.915,8.2025,6945600,8.2025
"2011-05-27",8.22125,8.29375,8.14125,8.17375,3492800,8.17375
"2011-05-31",8.24,8.2825,8.02875,8.1475,5663200,8.1475
"2011-06-01",8.13,8.3875,8.13,8.32875,11647200,8.32875
"2011-06-02",8.32875,8.48125,8.1825,8.27,9020800,8.27
"2011-06-03",8.175,8.62375,8.1625,8.32,8651200,8.32
"2011-06-06",8.31375,8.36,8.11125,8.14125,5402400,8.14125
"2011-06-07",8.1575,8.2675,8.07625,8.0825,5522400,8.0825
"2011-06-08",8.06375,8.07,7.7875,7.81375,8672000,7.81375
"2011-06-09",7.8325,8.18625,7.76125,8.15875,14790400,8.15875
"2011-06-10",8.28125,8.38375,7.9975,8.015,11796000,8.015
"2011-06-13",8.25375,8.5625,8.15625,8.49625,17323200,8.49625
"2011-06-14",8.61,8.7375,8.57625,8.71,12900800,8.71
"2011-06-15",8.6125,8.69875,8.465,8.50875,8554400,8.50875
"2011-06-16",8.4975,8.6175,8.37125,8.5025,10716000,8.5025
"2011-06-17",8.69875,8.72875,8.3925,8.50875,15342400,8.50875
"2011-06-20",8.5075,9.00875,8.455,8.98375,12272000,8.98375
"2011-06-21",9.04375,9.33625,9.00125,9.2025,16122400,9.2025
"2011-06-22",9.18125,9.3625,9.02125,9.035,7849600,9.035
"2011-06-23",8.89,9.21125,8.80125,9.2025,9275200,9.2025
"2011-06-24",9.17375,9.34625,9.0575,9.29625,33004000,9.29625
"2011-06-27",9.29,9.40625,9.1875,9.2875,10760800,9.2875
"2011-06-28",9.51875,9.71,9.48125,9.7,9658400,9.7
"2011-06-29",9.72,9.89375,9.5725,9.63625,10446400,9.63625
"2011-06-30",9.6375,9.7475,9.6225,9.66375,5378400,9.66375
"2011-07-01",9.70875,9.95375,9.625,9.90375,7304000,9.90375
"2011-07-05",9.79875,10.18125,9.70625,10.155,12234400,10.155
"2011-07-06",10.12,10.15,9.8775,9.96375,14188000,9.96375
"2011-07-07",10.0325,10.19,9.9375,9.9475,10637600,9.9475
"2011-07-08",9.78625,9.9675,9.675,9.94375,6719200,9.94375
"2011-07-11",9.83375,9.995,9.605,9.65,7588800,9.65
"2011-07-12",9.63875,9.8925,9.59375,9.775,7876000,9.775
"2011-07-13",9.815,10.0875,9.8,9.91625,6465600,9.91625
"2011-07-14",9.9375,9.98125,9.73375,9.7825,5210400,9.7825
"2011-07-15",9.8225,9.8375,9.64,9.74125,4550400,9.74125
"2011-07-18",9.66375,9.79375,9.635,9.71,3551200,9.71
"2011-07-19",9.80875,10.3325,9.77875,10.3,12284800,10.3
